"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000472";"3";"41";"Caderneta de poupança";"SANTANDER";"71,56";"12/07/2018";"16:36:13"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000473";"1";"13";"Terreno";"LOTES";"150000,00";"12/07/2018";"16:36:13"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000474";"1";"61";"Depósito bancário em conta corrente no País";"SANTANDER";"2081,66";"12/07/2018";"16:36:13"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000474";"2";"61";"Depósito bancário em conta corrente no País";"CAIXA ECONOMICA";"1344,50";"12/07/2018";"16:36:13"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000474";"3";"41";"Caderneta de poupança";"SANTANDER";"1126,20";"12/07/2018";"16:36:13"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000475";"1";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT TEMPRA 1993/1994 LAA3641";"8000,00";"12/07/2018";"16:36:13"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000475";"2";"61";"Depósito bancário em conta corrente no País";"ITAU";"3,28";"12/07/2018";"16:36:13"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000475";"3";"61";"Depósito bancário em conta corrente no País";"HSBC";"7,72";"12/07/2018";"16:36:13"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000476";"1";"61";"Depósito bancário em conta corrente no País";"BANCO ITAÚ";"8,33";"12/07/2018";"16:36:13"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"RJ";"RJ";"RIO DE JANEIRO";"190000000476";"2";"61";"Depósito bancário em conta corrente no País";"BRADESCO";"3306,79";"12/07/2018";"16:36:13"
