"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"6";"19";"Outros bens imóveis";"UM IMOVEL COMERCIAL EM JACOBINA-BA";"4408,56";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"7";"19";"Outros bens imóveis";"UM IMOVEL COMERCIAL EM SERRINHA-BA";"15000,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"8";"19";"Outros bens imóveis";"UMA FAZENDA DENOMINADA ITAPEVA. SERRINHA-BA";"242088,27";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"9";"19";"Outros bens imóveis";"UMA FAZENDA DENOMINADA BAIXA GRANDE. SERRINHA-BA";"63151,51";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"10";"32";"Quotas ou quinhões de capital";"60% DO PATRIMONIO LIQUIDO DA EMPRESA LUIZ N C NOVAIS   CIA LTDA. CNPJ 15.172.679/0001-73";"196098,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"11";"32";"Quotas ou quinhões de capital";"32% DO PATRIMONIO LIQUIDO DA EMPRESA ANA M C NOVAIS   CIA LTDA. CNPJ 42.086.272/0001-04";"49282,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"12";"32";"Quotas ou quinhões de capital";"53% DO PATRIMONIO LIQUIDO DA FIRMA LULU MOTOS LTDA. CNPJ 13.845.383/0001-40";"2325501,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"13";"32";"Quotas ou quinhões de capital";"50% DO PATRIMONIO LIQUIDO DO COLEGIO COMERCIAL DE SERRINHA, CNPJ 04.712.564/0001-08";"84856,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"14";"63";"Dinheiro em espécie - moeda nacional";"SALDO EM DINHEIRO";"185650,00";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"15";"19";"Outros bens imóveis";"75% DA FAZENDA SÃO JOSÉ . SERRINHA-BA";"89397,27";"12/07/2018";"16:35:46"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BA";"BA";"BAHIA";"50000000687";"16";"2";"Prédio comercial";"UM PREDIO COMERCIAL E RESIDENCIAL, SITUADO A PRAÇA LUIZ NOGUEIRA. SERRINHA-BA";"110000,00";"12/07/2018";"16:35:46"
