"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000064";"3";"61";"Depósito bancário em conta corrente no País";"SALDO EM CONTA CORRENTE NO BANCO DO BRASIL";"27920,88";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000064";"4";"32";"Quotas ou quinhões de capital";"CAPITAL DA FIRMA INDIVIDUAL M O M DA S.V. DE LIMA, CNPJ 13.472.454/0001-07";"5000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000065";"1";"32";"Quotas ou quinhões de capital";"23.125 QUOTAS DA EDP CORRETORA DE SEGUROS LTDA, CNPJ: 40.440.000/0001-27";"49500,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000065";"2";"13";"Terreno";"TERRENO LOCALIZADO NA PRAIA DA LONGA S/N, ILHA GRANDE, ANGRA DOS REIS, RIO DE JANEIRO/RJ, CONFORME CERTIDÃO DE INSCRIÇÃO DE OCUPAÇÃO N. 1202/02 DE 10 DE DEZEMBRO DE 2002 SPU";"5000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000065";"3";"32";"Quotas ou quinhões de capital";"2.850 QUOTAS DA EMPRESA JORNALISTICA FOLHA CRISTÃ LTDA -ME, CNPJ: 32.271.553/0001-75";"2850,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000065";"4";"61";"Depósito bancário em conta corrente no País";"BRADESCO AG.1975, C/C 1005570-9";"10067,18";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000065";"5";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"BRADESCO AG.1400 C/C 8465652-6";"22,85";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000065";"6";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"TOYOTA, COROLA PLAZA LQQ 2272 CONFORME CONTRATO N. 003264385 EM 22/01/2013 COM SINAL DE R$ 1.000,00, E 36 PARCELAS DE R$ 2.495,58";"28451,38";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000065";"7";"32";"Quotas ou quinhões de capital";"51 QUOTAS DA EDP ASSESSORIA E CONSULTORIA LTDA, CNPJ: 06.143.965/0001-10";"25500,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000066";"1";"61";"Depósito bancário em conta corrente no País";"AG000CC000";"20000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000066";"2";"11";"Apartamento";"APTO SIATUADO A SQSW 300, BLOCO M, APT 109, EM BRASILIA-DF,";"1000000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000066";"3";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CHEVROLET S-10, ANO/MODELO 2012/2013";"60000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000066";"4";"95";"Consórcio não contemplado";"CONSÓRCIO NÃO CONTEMPLADO, JUNTO AO BANCO SANTANDER";"65000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"1";"12";"Casa";"RUA C - QUADRA F - JARDIM REMANSO BERTIOGA - SP";"89892,24";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"4";"13";"Terreno";"RUA C - QUADRA F - JARDIM REMANSO - BERTIOGA - SP";"14982,71";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"5";"17";"Benfeitorias";"BENFEITORIAS EM IMÓVEL RESIDENCIAL LOCALIZADO NA RUA C-QUADRA F - JARDIM REMANSO - BERTIOGA - SP";"29883,92";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"6";"17";"Benfeitorias";"BENFEITORIAS REALIZADAS EM IMÓVEL LOCALIZADO NA AL. ROBALO, 100, COND. ALPHAVILLE - RESIDENCIAL 11 - SANTANA DO PARNAÍBA - SP";"9104,38";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"7";"17";"Benfeitorias";"BENFEITORIAS REALIZADAS NO IMÓVEL LOCALIZADO NA RUA BADEJO, 444- COND. ALPHAVILLE - RESIDENCIAL 11 - SANTANA DO PARNAÍBA - SP";"779,10";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"8";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO PEUGEOT, MODELO 406 - SV - 3.024 V - ANO 2001";"25998,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"9";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO FIAT TIPO 1994";"12160,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"10";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO CHEVROLET BLAZER EXECUTIVA ANO 1999";"56000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"11";"21";"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO MITSUBISHI PAJERO";"142500,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"12";"23";"Embarcação";"BALSA SALVA VIDAS NAUTIFLEX PARA 6 PESSOAS";"7000,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"13";"23";"Embarcação";"EMBARCAÇÃO MODELO FOCKER 25.5 - MOTOR YAMAHA 225/HP";"123770,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"14";"25";"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc.";"ALIANÇA DE BRILHANTES";"4163,84";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"15";"26";"Linha telefônica";"LINHAS TELEFÔNICAS";"13610,16";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"16";"31";"Ações (inclusive as provenientes de linha telefônica)";"169.929 AÇÕES ESCRITURAIS BRASIL TELECOM S/A";"3459,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"17";"31";"Ações (inclusive as provenientes de linha telefônica)";"246 AÇÕES PREFERNCIAIS VIVO PARTICIPAÇÕES";"2889,00";"12/07/2018";"16:35:38"
